Area,Mean,StdDev,Mode,Min,Max,X,Y,XM,YM,Perim.,BX,BY,Width,Height,Major,Minor,Angle,Circ.,Feret,IntDen,Median,Skew,Kurt,X.Area,RawIntDen,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity,pillName
55985,140.7248,18.7394,142,25,201,192.0625,95.8865,193.7371,95.8487,963.5118,6,7,372,178,386.2518,184.5488,0.1917,0.7578,372.5923,7878479,142,-2.1142,8.923,100,7878479,6,106,3.231,178,2.093,0.4778,0.9929,00003-4222-16_PART_1_OF_1_CHAL10_SF_F215F93F.jpg
28396,163.9021,22.2198,118,107,198,193.7756,95.8693,188.418,96.0364,727.7473,45,41,294,109,313.8211,115.2086,0.0064,0.6738,294.3824,4654165,162,-0.5128,-0.4575,100,4654165,45,89,177.0793,109,2.7239,0.3671,0.9827,00004-0800-85_PART_1_OF_1_CHAL10_SB_491E24C1.jpg
27767,162.6319,23.4408,118,110,206,193.7061,96.1208,187.4173,96.1711,722.4335,46,43,292,106,312.2968,113.2066,0.0038,0.6686,292.3354,4515801,162,-0.2473,-0.755,100,4515801,46,89,177.255,106,2.7586,0.3625,0.9839,00004-0800-85_PART_1_OF_1_CHAL10_SF_491E24C1.jpg
13484,150.6996,13.7087,118,89,204,192.0094,96.05,193.0244,95.8772,433.6884,126,30,132,132,131.5633,130.495,158.382,0.9009,132.9097,2032034,152,-1.0648,1.8739,100,2032034,127,82,166.0683,131.1352,1.0082,0.9919,0.9852,00006-0112-54_PART_1_OF_1_CHAL10_SB_131609E0.jpg
13430,146.3594,13.8655,118,85,201,191.8597,95.9298,190.7803,95.669,432.2742,126,30,132,131,131.2547,130.2781,10.4358,0.9032,132.6725,1965607,147,-0.5616,1.3035,100,1965607,126,88,170.8927,130.8148,1.0075,0.9926,0.9859,00006-0112-54_PART_1_OF_1_CHAL10_SF_131609E0.jpg
20746,123.1162,9.4493,118,65,180,191.7408,96.0687,193.1348,95.6786,536.9432,110,15,163,162,162.7578,162.2941,160.4617,0.9042,164.2833,2554168,122,0.5407,4.1073,100,2554168,113,73,164.1025,162,1.0029,0.9972,0.9886,00006-0277-54_PART_1_OF_1_CHAL10_SB_16160B30.jpg
20831,120.8771,12.1691,118,35,183,191.8463,95.9771,189.6298,95.5697,538.8427,110,14,164,164,162.9715,162.7454,141.2787,0.9016,164.478,2517991,119,0.5769,3.9241,100,2517991,120,56,149.6934,162.6346,1.0014,0.9986,0.9883,00006-0277-54_PART_1_OF_1_CHAL10_SF_16160B30.jpg
24450,123.8388,6.6964,118,79,165,191.9278,95.9895,191.835,95.5509,614.2569,77,28,230,136,230.4591,135.0812,179.8308,0.8143,230.4886,3027859,124,-0.2584,3.7505,100,3027859,77,88,176.2686,135.8094,1.7061,0.5861,0.9885,00006-0749-54_PART_1_OF_1_CHAL10_SB_821DC16E.jpg
24482,123.1444,9.4301,118,65,162,191.9329,96.1698,191.8751,96.1515,614.2569,77,28,230,136,230.2937,135.3552,0.043,0.8154,230.4886,3014822,124,-1.7844,7.2658,100,3014822,77,88,176.2686,136,1.7014,0.5878,0.9891,00006-0749-54_PART_1_OF_1_CHAL10_SF_821DC16E.jpg
15140,77.0943,18.2982,118,33,155,191.996,95.9675,192.7444,95.4809,460.1737,122,26,140,139,138.9535,138.7288,172.1168,0.8984,140.2462,1167208,71,1.1325,0.5464,100,1167208,123,84,169.7317,139,1.0016,0.9984,0.9866,00007-4471-20_PART_1_OF_1_CHAL10_SB_7618BB55.jpg
15087,71.6679,22.2174,118,28,169,191.9658,95.8355,189.343,95.4243,459.0021,122,26,140,139,138.6509,138.5448,154.0055,0.8999,140.0143,1081253,63,1.4382,1.1494,100,1081253,122,94,179.1815,139,1.0008,0.9992,0.9864,00007-4471-20_PART_1_OF_1_CHAL10_SF_7618BB55.jpg
22794,88.7944,12.0249,118,40,160,191.8918,95.7659,192.8285,95.2865,563.0854,106,11,171,170,170.4688,170.2495,17.9299,0.9034,171.843,2023979,86,1.1271,1.3616,100,2023979,147,169,58.8075,170,1.0013,0.9987,0.9896,00007-4642-13_PART_1_OF_1_CHAL10_SB_8C18C666.jpg
22952,87.0644,14.5922,118,34,153,191.8415,95.8382,188.6464,95.3136,564.4996,106,10,171,171,171.076,170.8211,112.1534,0.9051,172.3514,1998303,83,1.0409,0.7136,100,1998303,135,31,130.5292,171,1.0015,0.9985,0.9897,00007-4642-13_PART_1_OF_1_CHAL10_SF_8C18C666.jpg
20800,118.8646,11.3725,118,59,170,191.8667,95.9019,192.6661,95.0869,568.8183,88,37,208,118,213.3047,124.1575,179.7857,0.8078,208.0601,2472384,119,-0.3024,1.5449,100,2472384,88,99,1.377,118,1.718,0.5821,0.9871,00007-4882-13_PART_1_OF_1_CHAL10_SB_E118F097.jpg
20605,119.1536,10.4779,118,56,175,191.8606,95.9029,192.7621,95.5949,566.2325,88,37,208,117,214.4171,122.3555,179.9665,0.8076,208.4059,2455159,118,0.0152,1.5709,100,2455159,88,102,3.5763,117,1.7524,0.5706,0.9876,00007-4882-13_PART_1_OF_1_CHAL10_SF_E118F097.jpg
11798,149.2529,14.3456,118,74,197,191.7083,98.8607,192.5433,98.4964,410.132,129,35,126,123,123.2713,121.8587,10.3732,0.8814,126.7793,1760886,152,-0.9612,0.7026,100,1760886,144,141,32.4365,123,1.0116,0.9885,0.9844,00007-4891-20_PART_1_OF_1_CHAL10_SB_CD18E6D7.jpg
11651,149.0677,13.4415,118,86,210,191.8436,98.8737,191.2623,98.6423,406.4752,130,35,124,122,122.0065,121.5879,155.2098,0.8861,125.6702,1736788,152,-1.0516,1.2767,100,1736788,135,70,145.0453,122,1.0034,0.9966,0.986,00007-4891-20_PART_1_OF_1_CHAL10_SF_CD18E6D7.jpg
11738,128.2624,12.4406,118,48,190,192.1557,98.9582,193.3854,98.5694,413.5462,129,34,126,124,122.6087,121.8941,150.1504,0.8625,126.5306,1505544,128,-0.1037,2.3309,100,1505544,187,34,107.0029,123.4138,1.0059,0.9942,0.9794,00007-4892-20_PART_1_OF_1_CHAL10_SB_BE18DF56.jpg
11821,126.1299,11.949,118,39,217,192.0844,99.128,191.1274,98.6345,413.3036,129,34,126,124,123.2476,122.1198,42.682,0.8696,127.1377,1490981,126,-0.4397,3.3958,100,1490981,162,156,70.71,123.3251,1.0092,0.9908,0.9823,00007-4892-20_PART_1_OF_1_CHAL10_SF_BE18DF56.jpg
11765,149.3084,14.6926,118,84,199,191.8958,98.8034,192.6932,98.5322,410.3747,129,34,126,124,122.6874,122.0962,179.0653,0.8779,126.2537,1756613,152,-0.8401,1.0277,100,1756613,129,82,176.367,123.6106,1.0048,0.9952,0.9833,00007-4893-20_PART_1_OF_1_CHAL10_SB_D118E887.jpg
11851,148.3967,14.9041,118,81,194,192.078,98.8665,191.1361,98.4992,411.5462,129,34,126,124,123.3939,122.2845,37.1876,0.8793,127.063,1758649,151,-0.8105,0.5043,100,1758649,146,143,35.0659,123.3842,1.0091,0.991,0.9837,00007-4893-20_PART_1_OF_1_CHAL10_SF_D118E887.jpg
12029,103.8661,12.5118,118,32,187,191.8891,98.8082,193.3374,98.4572,414.3747,128,34,128,124,123.9576,123.5567,163.0499,0.8803,128.0976,1249405,103,0.0344,0.859,100,1249405,128,84,177.763,124,1.0032,0.9968,0.9851,00007-4896-20_PART_1_OF_1_CHAL10_SB_D818EC47.jpg
11989,102,11.7433,118,30,169,191.8272,98.8819,191.2417,98.653,413.3036,129,34,126,124,123.761,123.3415,136.496,0.882,127.4873,1222878,101,-0.183,1.4054,100,1222878,185,34,106.8714,124,1.0034,0.9966,0.9857,00007-4896-20_PART_1_OF_1_CHAL10_SF_D818EC47.jpg
11137,135.4216,12.8783,118,71,172,191.9028,95.999,191.8359,95.8283,410.6762,117,49,150,94,150.7655,94.0538,179.7354,0.8298,150.0533,1508190,138,-1.1464,2.1987,100,1508190,117,94,178.4725,94,1.603,0.6238,0.9847,00009-0055-01_PART_1_OF_1_CHAL10_SB_CA1DE53F.jpg
11104,133.3891,10.2518,118,95,170,191.9088,96.014,191.7766,95.8412,409.262,117,49,149,94,150.7413,93.7902,179.9439,0.8331,149.4055,1481153,134,-0.0984,-0.251,100,1481153,117,93,175.7778,94,1.6072,0.6222,0.985,00009-0055-01_PART_1_OF_1_CHAL10_SF_CA1DE53F.jpg
7777,183.5509,27.1982,118,98,220,192.0199,95.7542,192.2644,95.6046,329.9483,142,47,100,98,100.5324,98.4954,178.5588,0.8977,101.4347,1427475,193,-1.5078,1.1373,100,1427475,142,104,9.648,98,1.0207,0.9797,0.9821,00009-7663-04_PART_1_OF_1_CHAL10_SB_FD12FEA7.jpg
7561,175.5227,35.2191,118,5,214,191.8276,95.8419,191.935,95.703,325.1198,142,47,99,97,99.2726,96.975,178.5177,0.8989,100.2247,1327127,190,-2.0696,4.4244,100,1327127,146,76,155.2249,97,1.0237,0.9769,0.9816,00009-7663-04_PART_1_OF_1_CHAL10_SF_FD12FEA7.jpg
40585,59.7147,27.8474,49,24,173,190.365,96.0638,188.8942,97.0678,870.6173,15,33,354,126,378.5831,136.4943,179.9588,0.6729,354.6223,2423521,50,1.8956,2.4301,100,2423521,15,85,176.6051,126,2.7736,0.3605,0.9903,00013-5301-17_PART_1_OF_1_CHAL10_SB_691E34B1.jpg
40813,61.1007,28.1822,51,24,176,190.3958,96.307,188.5494,95.5595,871.931,15,31,353,130,375.9789,138.2118,179.9446,0.6746,353.2775,2493702,51,1.9693,2.7855,100,2493702,15,93,177.7288,130,2.7203,0.3676,0.9848,00013-5301-17_PART_1_OF_1_CHAL10_SF_691E34B1.jpg
34451,138.2389,43.9906,118,57,204,189.779,95.7602,211.7153,95.3745,812.6173,27,37,330,118,351.8753,124.6589,179.9496,0.6556,330.3407,4762469,118,0.1934,-1.5507,100,4762469,27,87,177.3974,118,2.8227,0.3543,0.9816,00023-9350-07_PART_1_OF_1_CHAL10_SB_D4196A7B.jpg
33801,134.4308,47.6247,118,10,208,189.5015,95.9448,212.3807,96.5724,808.0315,28,38,328,116,350.1593,122.9062,179.8806,0.6506,328.39,4543895,118,0.0553,-1.2139,100,4543895,28,86,177.2073,116,2.849,0.351,0.9815,00023-9350-07_PART_1_OF_1_CHAL10_SF_D4196A7B.jpg
10972,133.8897,13.0929,118,75,175,192.2178,99.8952,192.3921,99.5848,419.4041,111,51,162,89,160.1187,87.2477,179.8083,0.7838,162.3083,1469038,137,-0.8377,0.2878,100,1469038,111,106,3.5323,89,1.8352,0.5449,0.9862,00029-3159-13_PART_1_OF_1_CHAL10_SB_E418F247.jpg
10828,135.4027,11.8857,118,76,170,191.7821,100.1586,192.073,100.2542,416.8183,111,52,162,88,159.4464,86.4656,179.8063,0.7832,162.2498,1466140,139,-1.0003,0.6062,100,1466140,111,96,176.8202,88,1.844,0.5423,0.9856,00029-3159-13_PART_1_OF_1_CHAL10_SF_E418F247.jpg
19540,169.7242,15.4805,174,102,197,192.0224,95.8159,192.5747,95.7029,520.4579,113,17,158,157,158.1966,157.2669,2.1814,0.9065,159.4114,3316410,174,-2.6303,6.2324,100,3316410,119,128,23.6705,157,1.0059,0.9941,0.9891,00037-2250-10_PART_1_OF_1_CHAL10_SB_BD1D5EFA.jpg
19524,171.0479,17.0486,118,103,206,191.7975,95.9105,190.6091,95.8535,521.2864,113,17,158,158,157.9558,157.3777,9.8856,0.9029,159.088,3339540,174,-1.9868,4.1591,100,3339540,117,69,160.54,158,1.0037,0.9963,0.9885,00037-2250-10_PART_1_OF_1_CHAL10_SF_BD1D5EFA.jpg
17653,141.7951,11.7808,118,83,182,192.019,96.0172,191.839,95.7592,548.2914,84,50,216,92,227.5015,98.7971,0.0719,0.7379,216.2799,2503109,144,-0.9757,1.377,100,2503109,84,102,2.9153,92,2.3027,0.4343,0.9884,00049-4910-30_PART_1_OF_1_CHAL10_SB_881DC46E.jpg
17843,140.7659,11.1861,118,92,176,191.9522,95.9761,191.8672,95.9231,549.8061,84,50,216,92,228.2918,99.5148,179.9799,0.7418,216.5202,2511686,143,-1.0357,1.6411,100,2511686,84,88,176.0275,92,2.294,0.4359,0.9906,00049-4910-30_PART_1_OF_1_CHAL10_SF_881DC46E.jpg
8881,170.5422,21.2274,118,111,213,192.1119,96.0728,192.7311,95.4732,350.1909,139,43,106,106,106.595,106.0804,22.9525,0.91,108.0046,1514585,176,-1.4167,1.3744,100,1514585,148,127,36.3394,106,1.0049,0.9952,0.9852,00054-0017-25_PART_1_OF_1_CHAL10_SB_F7217BFB.jpg
8897,169.3989,20.2446,118,98,212,191.8774,95.9391,191.3297,95.5334,351.0193,138,43,107,106,106.6554,106.2113,170.5659,0.9074,107.912,1507142,174,-1.5235,1.9355,100,1507142,144,71,150.5844,106,1.0042,0.9958,0.9842,00054-0017-25_PART_1_OF_1_CHAL10_SF_F7217BFB.jpg
18288,142.1468,14.6301,118,102,171,190.8824,96.027,191.809,95.7274,573.2203,77,51,230,90,243.1895,95.7484,0.0104,0.6994,230.0782,2599581,147,-0.6602,-0.5569,100,2599581,77,93,178.5057,90,2.5399,0.3937,0.984,00054-0109-25_PART_1_OF_1_CHAL10_SB_00268004.jpg
18068,136.6624,26.4614,118,5,190,190.8521,96.0253,191.3709,96.0409,570.6346,78,51,228,90,241.5845,95.225,0.0304,0.6973,228.1776,2469217,146,-2.127,5.3086,100,2469217,78,101,2.2605,90,2.537,0.3942,0.9804,00054-0109-25_PART_1_OF_1_CHAL10_SF_00268004.jpg
36521,165.3523,14.0163,169,111,198,191.9481,96.128,190.7968,95.5375,775.529,43,23,298,146,308.801,150.5824,179.9695,0.7631,298.2415,6038830,168,-2.122,5.0776,100,6038830,43,103,2.306,146,2.0507,0.4876,0.9913,00054-0166-25_PART_1_OF_1_CHAL10_SB_6A1DB56D.jpg
36492,165.4479,13.8591,169,110,199,191.9106,95.4891,191.0724,95.6357,774.9432,43,23,298,146,308.4609,150.6287,179.9393,0.7636,298.1359,6037525,168,-2.208,5.5039,100,6037525,43,90,178.2701,146,2.0478,0.4883,0.991,00054-0166-25_PART_1_OF_1_CHAL10_SF_6A1DB56D.jpg
18087,191.4072,28.2137,118,117,218,190.7471,95.7231,191.1902,95.7939,570.3919,78,51,228,90,243.0793,94.739,179.9709,0.6986,228.5607,3461982,203,-1.5997,1.5001,100,3461982,78,87,175.9858,90,2.5658,0.3897,0.9806,00054-2526-25_PART_1_OF_1_CHAL10_SB_961C4B22.jpg
18022,188.3331,31.4778,118,42,219,191.1302,96.0056,191.4262,95.9253,571.2203,78,52,229,88,243.3637,94.2882,0.0181,0.6941,229.264,3394139,201,-1.5293,1.4252,100,3394139,78,88,177.2499,88,2.5811,0.3874,0.9854,00054-2526-25_PART_1_OF_1_CHAL10_SF_961C4B22.jpg
8909,164.2946,17.7223,118,116,200,191.9135,96.0341,192.1543,95.8418,351.6051,138,43,107,106,106.672,106.3381,12.5444,0.9056,108.0046,1463701,170,-1.8283,2.291,100,1463701,159,139,53.6606,106,1.0031,0.9969,0.9841,00054-4182-25_PART_1_OF_1_CHAL10_SB_77233BF9.jpg
8858,163.9272,17.4619,118,112,205,191.8217,96.0183,191.3434,95.8438,349.6051,139,43,106,106,106.3504,106.049,174.7211,0.9107,107.9352,1452067,168,-1.6966,2.4324,100,1452067,142,75,156.5226,106,1.0028,0.9972,0.9849,00054-4182-25_PART_1_OF_1_CHAL10_SF_77233BF9.jpg
8802,174.531,20.9124,118,108,215,192.0176,96.0307,192.4308,95.8009,349.0193,139,43,106,106,106.2713,105.457,21.1879,0.908,107.5639,1536222,181,-1.9855,2.8842,100,1536222,140,110,16.7503,106,1.0077,0.9923,0.9842,00054-4728-25_PART_1_OF_1_CHAL10_SB_8723C3EE.jpg
8787,173.8114,20.7196,118,113,216,191.9669,96.0064,191.4822,95.8284,348.4335,139,43,106,106,105.8089,105.7374,12.4716,0.9095,107.0701,1527281,179,-1.9391,2.8862,100,1527281,163,51,122.7995,106,1.0007,0.9993,0.9848,00054-4728-25_PART_1_OF_1_CHAL10_SF_8723C3EE.jpg
15934,150.578,13.5744,118,55,193,191.9208,96.0351,193.2944,95.8511,469.8305,120,25,143,142,142.7878,142.0836,175.9132,0.9071,144.0868,2399310,152,-0.6322,1.0765,100,2399310,126,67,155.3915,142,1.005,0.9951,0.9877,00056-0170-70_PART_1_OF_1_CHAL10_SB_95134AFA.jpg
15929,147.4632,14.2782,118,73,193,191.6797,96.0242,190.5896,95.9981,471.2447,120,25,144,142,142.8547,141.9724,2.3517,0.9014,144.17,2348941,149,-0.753,0.9899,100,2348941,120,91,177.217,142,1.0062,0.9938,0.9873,00056-0170-70_PART_1_OF_1_CHAL10_SF_95134AFA.jpg
15944,159.6597,14.9219,118,103,197,191.8723,96.0774,193.0912,95.9105,469.8305,120,25,143,142,142.7899,142.1707,169.8852,0.9077,144.0694,2545615,161,-1.3736,2.5443,100,2545615,122,79,166.3496,142,1.0044,0.9957,0.9882,00056-0176-70_PART_1_OF_1_CHAL10_SB_99134CAA.jpg
15948,157.9812,15.7849,118,98,194,191.8595,95.8998,190.8038,95.8472,470.6589,120,25,144,142,143.061,141.9368,4.0438,0.9047,144.3122,2519484,161,-1.3446,1.6073,100,2519484,125,123,20.6955,142,1.0079,0.9921,0.9877,00056-0176-70_PART_1_OF_1_CHAL10_SF_99134CAA.jpg
15878,133.0658,12.0075,118,88,177,191.9948,95.822,193.4521,95.2433,469.5879,121,25,142,142,142.5315,141.8388,15.2891,0.9048,144.17,2112818,133,0.1794,-0.0662,100,2112818,145,150,50.3471,142,1.0049,0.9951,0.9875,00056-0188-70_PART_1_OF_1_CHAL10_SB_9B134DFA.jpg
15883,132.6678,12.3656,118,80,182,191.8654,96.0124,190.6309,95.9253,469.0021,121,25,142,142,142.5263,141.8887,174.366,0.9074,143.8923,2107163,133,0.0636,-0.093,100,2107163,124,72,162.1946,142,1.0045,0.9955,0.9878,00056-0188-70_PART_1_OF_1_CHAL10_SF_9B134DFA.jpg
7892,172.131,20.6615,118,106,201,192.1464,95.9168,192.8165,95.7796,329.7056,142,46,100,100,100.6411,99.8439,8.2636,0.9123,102.3181,1358458,177,-1.907,2.4709,100,1358458,144,114,21.8014,100,1.008,0.9921,0.9835,00062-2085-12_PART_1_OF_1_CHAL10_SB_06130328.jpg
7863,161.8267,29.533,118,31,197,191.8678,96.0068,191.5787,95.9665,329.7056,142,46,100,100,100.5511,99.5661,5.87,0.909,101.6514,1272443,174,-1.7465,2.1783,100,1272443,143,110,15.4034,100,1.0099,0.9902,0.9837,00062-2085-12_PART_1_OF_1_CHAL10_SF_06130328.jpg
21942,176.2572,16.9946,180,102,208,192.0953,95.9363,192.8724,95.8423,552.8427,108,12,168,167,167.3793,166.9108,7.229,0.9022,168.5853,3867435,180,-2.6975,6.7377,100,3867435,119,54,149.3277,167,1.0028,0.9972,0.989,00069-1540-68_PART_1_OF_1_CHAL10_SB_BB1C5DE2.jpg
21965,175.9924,17.0304,181,96,206,191.9298,95.8308,191.273,95.8122,552.8427,108,12,168,167,167.4921,166.9733,2.47,0.9031,168.7157,3865672,180,-2.6952,6.6863,100,3865672,117,57,151.3082,167,1.0031,0.9969,0.9893,00069-1540-68_PART_1_OF_1_CHAL10_SF_BB1C5DE2.jpg
27728,104.5848,7.1318,107,83,162,191.9533,96.1913,191.7509,95.8958,694.86,53,38,278,116,288.4778,122.3816,0.0035,0.7217,278.1151,2899927,106,-0.2081,0.5811,100,2899927,53,95,178.3517,116,2.3572,0.4242,0.991,00069-2600-66_PART_1_OF_1_CHAL10_SB_3A211D78.jpg
28670,100.3788,14.1545,107,23,134,191.8416,95.6492,192.4218,95.6414,709.2031,50,38,284,116,295.9292,123.3531,179.813,0.7163,284.0282,2877859,104,-1.971,4.5691,100,2877859,50,95,179.1931,116,2.399,0.4168,0.9917,00069-2600-66_PART_1_OF_1_CHAL10_SF_3A211D78.jpg
17639,120.1347,9.5793,118,70,188,192.0438,96.0955,192.0061,95.4368,516.5412,99,27,186,137,177.5444,126.4961,0.3429,0.8308,186.4537,2119056,120,0.2716,2.3622,100,2119056,99,102,3.998,133.723,1.4036,0.7125,0.9852,00069-4210-30_PART_1_OF_1_CHAL10_SB_641DB26D.jpg
17591,121.121,9.3858,118,75,205,191.7375,95.8494,191.5764,95.8996,516.1981,99,27,186,138,177.2811,126.3393,0.3813,0.8296,186.3867,2130639,120,0.8693,3.548,100,2130639,99,103,3.6914,133.2818,1.4032,0.7126,0.9852,00069-4210-30_PART_1_OF_1_CHAL10_SF_641DB26D.jpg
10835,164.2558,17.0857,118,111,202,191.9752,95.9289,192.0456,95.9532,415.9483,113,53,158,86,160.3129,86.0539,179.6922,0.787,158.3824,1779712,169,-1.9341,2.7588,100,1779712,113,90,176.0175,86,1.8629,0.5368,0.9852,00071-0155-23_PART_1_OF_1_CHAL10_SB_711C38F1.jpg
10767,164.4454,17.293,118,109,209,191.9958,95.8769,192.0127,96.0049,414.7767,113,53,158,86,159.9293,85.719,0.0714,0.7865,158.2561,1770584,169,-1.8329,2.6193,100,1770584,113,91,176.7398,86,1.8657,0.536,0.9845,00071-0155-23_PART_1_OF_1_CHAL10_SF_711C38F1.jpg
16607,166.3635,16.3303,170,109,207,192.1597,95.9579,192.4363,95.9962,518.3747,93,43,198,106,199.8794,105.7872,0.1224,0.7766,198.0631,2762798,170,-1.9774,3.823,100,2762798,93,99,1.4466,106,1.8894,0.5293,0.9869,00071-0156-23_PART_1_OF_1_CHAL10_SB_741C3A41.jpg
16651,165.7844,16.0465,170,112,206,191.9109,95.9793,192.199,96.0809,518.3747,93,43,198,106,200.3353,105.8261,179.9368,0.7787,198.2044,2760476,169,-2.0501,3.8669,100,2760476,93,91,177.3974,106,1.8931,0.5282,0.9868,00071-0156-23_PART_1_OF_1_CHAL10_SF_741C3A41.jpg
